GM1,GM2,GM3,GM4,GM7,GM8,GM9,GM10,GM11
26800,7997,11200,6000,4000,7807,2726,2000,7990
0.005,0.005,0.005,0.005,0.02,0.005,0.01,0.02,0.005
1,0.5,1.5,2,3,1.2,2.5,2,1.3
-2.23E-06,-1.68E-03,-2.65E-06,5.60E-06,2.35E-04,-7.02E-03,2.21E-04,5.45E-04,-1.38E-03
-2.23E-06,-1.83E-03,-2.64E-06,5.89E-06,2.63E-04,-8.26E-03,2.90E-04,-2.89E-03,-1.37E-03
-2.24E-06,-1.84E-03,-2.61E-06,6.17E-06,2.31E-04,-5.19E-03,3.92E-04,-3.32E-03,-1.72E-04
-2.26E-06,-1.85E-03,-2.58E-06,6.47E-06,2.61E-04,1.27E-03,3.83E-04,-5.61E-03,1.24E-03
-2.27E-06,-1.84E-03,-2.53E-06,6.79E-06,2.18E-04,1.59E-03,3.04E-04,-5.17E-03,1.09E-03
-2.28E-06,-1.83E-03,-2.47E-06,7.11E-06,2.43E-04,1.78E-03,4.02E-04,-4.33E-03,1.14E-03
-2.26E-06,-1.81E-03,-2.41E-06,7.42E-06,2.21E-04,1.82E-03,7.55E-04,-2.38E-03,1.19E-03
-2.25E-06,-1.76E-03,-2.38E-06,7.72E-06,2.86E-04,1.82E-03,1.29E-03,-1.56E-04,1.22E-03
-2.24E-06,-1.70E-03,-2.37E-06,8.04E-06,2.62E-04,1.80E-03,1.77E-03,-6.17E-03,1.25E-03
-2.23E-06,-1.62E-03,-2.40E-06,8.35E-06,2.17E-04,1.77E-03,1.74E-03,-6.94E-03,1.27E-03
-2.23E-06,-1.53E-03,-2.43E-06,8.71E-06,1.19E-04,1.73E-03,1.36E-03,-1.52E-03,1.28E-03
-2.23E-06,-1.45E-03,-2.47E-06,9.06E-06,2.46E-04,1.68E-03,8.37E-04,6.01E-04,1.28E-03
-2.23E-06,-1.38E-03,-2.55E-06,9.30E-06,3.06E-04,1.64E-03,1.84E-04,-3.11E-03,1.28E-03
-2.22E-06,-1.38E-03,-2.74E-06,9.52E-06,3.47E-04,1.59E-03,-1.43E-04,-4.18E-03,1.28E-03
-2.21E-06,-1.47E-03,-3.00E-06,9.83E-06,3.22E-04,1.53E-03,4.41E-04,-9.08E-04,1.28E-03
-2.21E-06,-1.68E-03,-3.32E-06,1.02E-05,2.62E-04,1.45E-03,1.27E-03,8.96E-04,1.28E-03
-2.20E-06,-2.04E-03,-3.58E-06,1.05E-05,4.21E-05,1.37E-03,8.20E-04,-4.32E-03,1.29E-03
-2.20E-06,-2.52E-03,-3.73E-06,1.11E-05,2.28E-04,1.29E-03,-1.51E-03,-4.45E-03,1.31E-03
-2.20E-06,-3.11E-03,-3.66E-06,1.15E-05,2.44E-04,1.23E-03,-4.99E-03,2.91E-03,1.34E-03
-2.19E-06,-3.75E-03,-3.34E-06,1.16E-05,3.12E-04,1.17E-03,-7.20E-03,3.69E-03,1.38E-03
-2.19E-06,-4.39E-03,-2.93E-06,1.17E-05,4.84E-04,1.12E-03,-5.70E-03,-5.53E-03,1.44E-03
-2.18E-06,-4.95E-03,-2.66E-06,1.20E-05,2.06E-04,1.09E-03,-2.92E-03,-1.24E-02,1.51E-03
-2.18E-06,-5.33E-03,-2.87E-06,1.24E-05,-1.75E-05,1.08E-03,-3.16E-03,-1.37E-02,1.57E-03
-2.17E-06,-5.47E-03,-3.72E-06,1.27E-05,5.28E-05,1.09E-03,-6.63E-03,9.45E-04,1.63E-03
-2.17E-06,-5.33E-03,-5.25E-06,1.30E-05,4.21E-04,1.11E-03,-9.04E-03,-1.62E-02,1.68E-03
-2.16E-06,-4.87E-03,-7.43E-06,1.33E-05,5.47E-04,1.13E-03,-4.34E-03,1.91E-02,1.71E-03
-2.16E-06,-4.06E-03,-9.82E-06,1.36E-05,5.44E-04,1.14E-03,5.57E-03,1.45E-03,1.72E-03
-2.15E-06,-2.89E-03,-1.18E-05,1.41E-05,5.54E-04,1.14E-03,1.60E-02,-1.96E-02,1.72E-03
-2.13E-06,-1.38E-03,-1.30E-05,1.49E-05,5.64E-04,1.14E-03,2.36E-02,-2.26E-02,1.71E-03
-2.12E-06,4.49E-04,-1.30E-05,1.51E-05,5.50E-04,1.12E-03,1.76E-02,-9.17E-04,1.69E-03
-2.11E-06,2.52E-03,-1.17E-05,1.51E-05,6.62E-04,1.09E-03,1.78E-03,5.72E-02,1.65E-03
-2.09E-06,4.75E-03,-9.62E-06,1.58E-05,-1.40E-04,1.03E-03,-1.16E-02,1.31E-02,1.59E-03
-2.08E-06,6.97E-03,-7.15E-06,1.61E-05,-8.32E-04,9.52E-04,-2.00E-02,-8.69E-03,1.52E-03
-2.06E-06,9.00E-03,-4.53E-06,1.59E-05,-1.22E-04,8.46E-04,-1.89E-02,-3.49E-02,1.43E-03
-2.05E-06,1.06E-02,-1.81E-06,1.60E-05,2.64E-04,6.96E-04,-1.93E-02,-1.71E-02,1.34E-03
-2.05E-06,1.16E-02,8.21E-07,1.67E-05,3.35E-04,5.37E-04,-3.33E-02,5.45E-03,1.24E-03
-2.06E-06,1.15E-02,3.22E-06,1.79E-05,4.62E-04,4.02E-04,-4.33E-02,1.80E-02,1.15E-03
-2.07E-06,1.02E-02,5.50E-06,1.80E-05,-1.85E-04,2.96E-04,-3.79E-02,3.67E-03,1.07E-03
-2.08E-06,7.47E-03,7.84E-06,1.77E-05,1.48E-03,2.27E-04,-2.73E-02,-8.75E-04,1.01E-03
-2.10E-06,3.24E-03,9.59E-06,1.87E-05,2.82E-03,2.11E-04,-1.47E-02,-1.45E-02,9.70E-04
-2.12E-06,-2.14E-03,1.02E-05,1.91E-05,1.46E-04,2.68E-04,4.97E-03,-4.45E-02,9.50E-04
-2.14E-06,-8.13E-03,9.90E-06,1.85E-05,-1.14E-03,3.99E-04,2.93E-02,-1.69E-02,9.53E-04
-2.15E-06,-1.41E-02,9.32E-06,1.84E-05,-2.88E-03,5.59E-04,4.64E-02,3.33E-03,9.78E-04
-2.15E-06,-1.94E-02,9.12E-06,1.94E-05,-1.63E-03,7.07E-04,5.62E-02,7.80E-02,1.02E-03
-2.14E-06,-2.34E-02,9.26E-06,2.15E-05,2.88E-04,8.45E-04,6.89E-02,7.72E-02,1.08E-03
-2.11E-06,-2.59E-02,1.02E-05,2.36E-05,-6.47E-05,1.00E-03,7.03E-02,-3.47E-02,1.15E-03
-2.09E-06,-2.64E-02,1.33E-05,2.53E-05,-2.74E-04,1.16E-03,4.17E-02,-9.64E-02,1.23E-03
-2.08E-06,-2.51E-02,1.87E-05,2.46E-05,-2.37E-05,1.30E-03,-4.57E-04,-6.63E-02,1.30E-03
-2.08E-06,-2.19E-02,2.56E-05,2.16E-05,-1.93E-04,1.41E-03,-2.92E-02,4.38E-02,1.38E-03
-2.08E-06,-1.72E-02,3.23E-05,2.07E-05,1.29E-03,1.49E-03,-3.51E-02,1.32E-01,1.46E-03
-2.09E-06,-1.13E-02,3.76E-05,2.29E-05,2.85E-03,1.57E-03,-2.38E-02,3.59E-02,1.52E-03
-2.11E-06,-4.63E-03,4.09E-05,2.34E-05,2.31E-03,1.63E-03,-8.65E-03,-1.02E-02,1.57E-03
-2.13E-06,2.33E-03,4.21E-05,2.20E-05,1.27E-03,1.65E-03,-2.52E-03,-8.45E-02,1.59E-03
-2.15E-06,9.12E-03,4.18E-05,2.16E-05,-9.22E-04,1.65E-03,-9.47E-03,-1.20E-01,1.59E-03
